target,file_count,component_file_count
"src/app/(dashboard)/admin/alerts/page.tsx",6,5
"src/app/(dashboard)/admin/cost-management/page.tsx",42,41
"src/app/(dashboard)/admin/debug/extension-context/page.tsx",19,18
"src/app/(dashboard)/admin/debug/extension-sessions/[sessionId]/page.tsx",16,15
"src/app/(dashboard)/admin/debug/extension-sessions/page.tsx",18,17
"src/app/(dashboard)/admin/jobs/page.tsx",9,8
"src/app/(dashboard)/admin/metrics/page.tsx",8,7
"src/app/(dashboard)/admin/organizations/[id]/storage/page.tsx",42,41
"src/app/(dashboard)/admin/page.tsx",7,6
"src/app/(dashboard)/admin/quotas/page.tsx",8,7
"src/app/(dashboard)/admin/storage-alerts/page.tsx",42,41
"src/app/(dashboard)/admin/storage-analytics/page.tsx",42,41
"src/app/(dashboard)/admin/storage-health/page.tsx",42,41
"src/app/(dashboard)/admin/storage-recommendations/page.tsx",42,41
"src/app/(dashboard)/admin/wiki-review/page.tsx",27,26
"src/app/(dashboard)/agent-activity/page.tsx",8,7
"src/app/(dashboard)/analytics/page.tsx",15,14
"src/app/(dashboard)/assistant/page.tsx",35,34
"src/app/(dashboard)/dashboard/page.tsx",70,69
"src/app/(dashboard)/digest/page.tsx",12,11
"src/app/(dashboard)/knowledge-gaps/page.tsx",14,13
"src/app/(dashboard)/knowledge/docs/page.tsx",18,17
"src/app/(dashboard)/knowledge/health/page.tsx",18,17
"src/app/(dashboard)/knowledge/map/page.tsx",50,49
"src/app/(dashboard)/knowledge/page.tsx",44,43
"src/app/(dashboard)/knowledge/pages/[id]/page.tsx",23,22
"src/app/(dashboard)/knowledge/review/page.tsx",3,2
"src/app/(dashboard)/library/[id]/page.tsx",132,131
"src/app/(dashboard)/library/page.tsx",163,162
"src/app/(dashboard)/onboarding/page.tsx",9,8
"src/app/(dashboard)/record/page.tsx",10,9
"src/app/(dashboard)/recordings/[id]/page.tsx",1,0
"src/app/(dashboard)/recordings/page.tsx",1,0
"src/app/(dashboard)/search/page.tsx",60,59
"src/app/(dashboard)/settings/organization/agents/page.tsx",26,25
"src/app/(dashboard)/settings/organization/billing/page.tsx",1,0
"src/app/(dashboard)/settings/organization/departments/page.tsx",25,24
"src/app/(dashboard)/settings/organization/general/page.tsx",10,9
"src/app/(dashboard)/settings/organization/integrations/page.tsx",77,76
"src/app/(dashboard)/settings/organization/mcp/page.tsx",12,11
"src/app/(dashboard)/settings/organization/members/page.tsx",78,77
"src/app/(dashboard)/settings/organization/page.tsx",1,0
"src/app/(dashboard)/settings/organization/security/page.tsx",23,22
"src/app/(dashboard)/settings/organization/stats/page.tsx",8,7
"src/app/(dashboard)/settings/organization/usage/page.tsx",15,14
"src/app/(dashboard)/settings/page.tsx",1,0
"src/app/(dashboard)/settings/profile/page.tsx",77,76
"src/app/(dashboard)/vendor-admin/analytics/page.tsx",20,19
"src/app/(dashboard)/vendor-admin/branding/page.tsx",7,6
"src/app/(dashboard)/vendor-admin/domain/page.tsx",8,7
"src/app/(dashboard)/vendor-admin/knowledge/page.tsx",7,6
"src/app/(dashboard)/vendor-admin/page.tsx",16,15
"src/app/(dashboard)/vendor-admin/voice/page.tsx",8,7
